cement,slag,fly_ash,water,superplasticizer,coarse_agg,fine_agg,age,strength,water_cement_ratio,binder_total,agg_total,log_age
540.0,0.0,0.0,162.0,2.5,1040.0,676.0,28,79.98611076,0.3,540.0,1716.0,3.367295829986474
540.0,0.0,0.0,162.0,2.5,1055.0,676.0,28,61.887365759999994,0.3,540.0,1731.0,3.367295829986474
332.5,142.5,0.0,228.0,0.0,932.0,594.0,270,40.269535256000005,0.6857142857142857,475.0,1526.0,5.602118820879701
332.5,142.5,0.0,228.0,0.0,932.0,594.0,365,41.052779992,0.6857142857142857,475.0,1526.0,5.902633333401366
198.6,132.4,0.0,192.0,0.0,978.4,825.5,360,44.296075096,0.9667673716012085,331.0,1803.9,5.8888779583328805
266.0,114.0,0.0,228.0,0.0,932.0,670.0,90,47.029847436000004,0.8571428571428571,380.0,1602.0,4.51085950651685
380.0,95.0,0.0,228.0,0.0,932.0,594.0,365,43.698299404,0.6,475.0,1526.0,5.902633333401366
380.0,95.0,0.0,228.0,0.0,932.0,594.0,28,36.447769788,0.6,475.0,1526.0,3.367295829986474
266.0,114.0,0.0,228.0,0.0,932.0,670.0,28,45.854290856,0.8571428571428571,380.0,1602.0,3.367295829986474
475.0,0.0,0.0,228.0,0.0,932.0,594.0,28,39.28978986,0.48,475.0,1526.0,3.367295829986474
198.6,132.4,0.0,192.0,0.0,978.4,825.5,90,38.074243671999994,0.9667673716012085,331.0,1803.9,4.51085950651685
198.6,132.4,0.0,192.0,0.0,978.4,825.5,28,28.021683592,0.9667673716012085,331.0,1803.9,3.367295829986474
427.5,47.5,0.0,228.0,0.0,932.0,594.0,270,43.01296026,0.5333333333333333,475.0,1526.0,5.602118820879701
190.0,190.0,0.0,228.0,0.0,932.0,670.0,90,42.32693164,1.2,380.0,1602.0,4.51085950651685
304.0,76.0,0.0,228.0,0.0,932.0,670.0,28,47.813781648,0.75,380.0,1602.0,3.367295829986474
380.0,0.0,0.0,228.0,0.0,932.0,670.0,90,52.908319811999995,0.6,380.0,1602.0,4.51085950651685
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,90,39.358047983999995,1.3753581661891119,349.0,1853.9,4.51085950651685
342.0,38.0,0.0,228.0,0.0,932.0,670.0,365,56.141962252,0.6666666666666666,380.0,1602.0,5.902633333401366
380.0,95.0,0.0,228.0,0.0,932.0,594.0,90,40.563252031999994,0.6,475.0,1526.0,4.51085950651685
475.0,0.0,0.0,228.0,0.0,932.0,594.0,180,42.620648416,0.48,475.0,1526.0,5.198497031265826
427.5,47.5,0.0,228.0,0.0,932.0,594.0,180,41.836714203999996,0.5333333333333333,475.0,1526.0,5.198497031265826
